Location Id,Depot Id,Schedule OTB with Wave,Loading Time - Fixed,Unloading Time - Fixed,Loading Time - Variable,Unloading Time - Variable,RSU Percentage Override,Balance Profile,First Balance Load Percentage
2005,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
2044,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
2170,30102,1,00:20:00,00:20:00,00:02:00,00:02:00,,Default,
2185,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
2214,30102,1,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
2219,30102,1,01:20:00,01:20:00,00:00:00,00:00:00,,Default,
2257,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
2302,30102,1,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
2323,30102,1,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
2325,30102,2,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
2328,30102,2,00:20:00,00:20:00,00:01:30,00:01:30,,Default,
2335,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
2344,30102,2,01:05:00,01:05:00,00:00:00,00:00:00,,Default,
2355,30102,2,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
2366,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
2367,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
2368,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
2369,30102,2,01:05:00,01:05:00,00:00:00,00:00:00,,Default,
2372,30102,2,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
2380,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
2381,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
2384,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
2386,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
2404,30102,1,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
2446,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
2484,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
2501,30102,1,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
2503,30102,1,00:29:00,00:29:00,00:00:00,00:00:00,,Default,
2504,30102,1,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
2505,30102,2,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
2515,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
2594,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
2606,30102,2,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
2608,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
2611,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
2624,30102,1,01:20:00,01:20:00,00:00:00,00:00:00,,Default,
2650,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
2733,30102,1,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
2770,30102,1,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
2772,30102,1,01:05:00,01:05:00,00:00:00,00:00:00,,Default,
2773,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
2780,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
2785,30102,1,01:05:00,01:05:00,00:00:00,00:00:00,,Default,
2793,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
2813,30102,1,00:20:00,00:20:00,00:02:00,00:02:00,,Default,
2819,30102,2,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
2820,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
2844,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
2846,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
2849,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
2850,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
2878,30102,1,01:20:00,01:20:00,00:00:00,00:00:00,,Default,
2900,30102,2,00:20:00,00:20:00,00:01:45,00:01:45,,Default,
2933,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
2949,30102,1,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
2950,30102,1,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
2959,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
2960,30102,2,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
2964,30102,1,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
2974,30102,2,00:30:00,00:30:00,00:00:00,00:00:00,,Default,
2996,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
2997,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
3073,30102,1,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
3076,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
3084,30102,2,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
3115,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
3125,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
3126,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
3132,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
3165,30102,1,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
3188,30102,2,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
3212,30102,2,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
3239,30102,2,00:20:00,00:20:00,00:01:30,00:01:30,,Default,
3244,30102,2,01:20:00,01:20:00,00:00:00,00:00:00,,Default,
3247,30102,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
3258,30102,1,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
3262,30102,2,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
3263,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
3265,30102,2,01:10:00,01:10:00,00:00:00,00:00:00,,Default,
3269,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
3290,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
3293,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
3297,30102,2,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
3327,30102,1,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
3328,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
3351,30102,1,01:05:00,01:05:00,00:00:00,00:00:00,,Default,
3370,30102,2,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
3374,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
3398,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
3405,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
3430,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
3431,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
3440,30102,2,00:20:00,00:20:00,00:01:30,00:01:30,,Default,
3463,30102,2,00:20:00,00:20:00,00:03:30,00:03:30,,Default,
4357,30102,1,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
4512,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
4555,30102,2,00:20:00,00:20:00,00:03:00,00:03:00,,Default,
5000,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5014,30102,2,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
5015,30102,2,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
5033,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
5036,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
5049,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5056,30102,1,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
5064,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
5067,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5074,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5092,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
5098,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
5099,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
5114,30102,1,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
5142,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5149,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
5165,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
5168,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
5182,30102,1,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
5197,30102,1,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
5203,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
5207,30102,2,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
5223,30102,1,01:15:00,01:15:00,00:00:00,00:00:00,,Default,
5225,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5227,30102,1,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5228,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
5246,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
5270,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
5278,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
5318,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
5325,30102,1,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
5329,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
5332,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5338,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
5362,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5378,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5386,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
5392,30102,2,01:10:00,01:10:00,00:00:00,00:00:00,,Default,
5397,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5403,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
5495,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
5498,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5503,30102,1,01:05:00,01:05:00,00:00:00,00:00:00,,Default,
5504,30102,1,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
5506,30102,2,01:10:00,01:10:00,00:00:00,00:00:00,,Default,
5549,30102,2,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
5553,30102,1,01:15:00,01:15:00,00:00:00,00:00:00,,Default,
5570,30102,2,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
5593,30102,1,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
5607,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
5634,30102,1,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5656,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
5662,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5667,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
5712,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
5724,30102,1,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
5751,30102,2,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
5779,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
5783,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
5828,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
5831,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
5839,30102,2,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
5851,30102,2,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
5852,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
5853,30102,1,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
5854,30102,1,00:20:00,00:20:00,00:02:00,00:02:00,,Default,
5886,30102,1,01:15:00,01:15:00,00:00:00,00:00:00,,Default,
5893,30102,1,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
5902,30102,1,00:20:00,00:20:00,00:02:00,00:02:00,,Default,
5913,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
5921,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
5984,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
5996,30102,2,01:05:00,01:05:00,00:00:00,00:00:00,,Default,
6006,30102,2,00:25:00,00:25:00,00:00:00,00:00:00,,Default,
6045,30102,1,01:25:00,01:25:00,00:00:00,00:00:00,,Default,
6046,30102,2,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
6060,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6065,30102,1,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
6103,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6112,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
6119,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
6135,30102,1,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
6141,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
6159,30102,1,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
6161,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
6178,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
6195,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6197,30102,2,00:30:00,00:30:00,00:00:00,00:00:00,,Default,
6223,30102,1,01:30:00,01:30:00,00:00:00,00:00:00,,Default,
6226,30102,1,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
6227,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
6249,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
6276,30102,2,00:50:00,00:50:00,00:00:00,00:00:00,,Default,
6299,30102,2,01:05:00,01:05:00,00:00:00,00:00:00,,Default,
6300,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6305,30102,2,01:05:00,01:05:00,00:00:00,00:00:00,,Default,
6369,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
6388,30102,2,00:40:00,00:40:00,00:00:00,00:00:00,,Default,
6411,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6418,30102,1,01:10:00,01:10:00,00:00:00,00:00:00,,Default,
6428,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6441,30102,1,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6447,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
6448,30102,1,00:20:00,00:20:00,00:02:15,00:02:15,,Default,
6462,30102,2,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
6463,30102,1,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
6473,30102,2,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
6481,30102,1,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
6569,30102,1,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
6570,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
6573,30102,1,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
6602,30102,2,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
6636,30102,2,01:15:00,01:15:00,00:00:00,00:00:00,,Default,
6638,30102,1,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
6642,30102,2,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
6662,30102,1,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
6672,30102,1,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
6678,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6685,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
6700,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6716,30102,2,00:55:00,00:55:00,00:00:00,00:00:00,,Default,
6722,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6727,30102,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
6741,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
6777,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6782,30102,2,00:20:00,00:20:00,00:01:00,00:01:00,,Default,
6809,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6852,30102,2,00:30:00,00:30:00,00:01:30,00:01:30,,Default,
6854,30102,2,00:20:00,00:20:00,00:02:30,00:02:30,,Default,
6857,30102,1,00:20:00,00:20:00,00:01:15,00:01:15,,Default,
6858,30102,2,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
6876,30102,2,00:35:00,00:35:00,00:00:00,00:00:00,,Default,
53001,30102,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
53005,30102,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
53006,30102,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
53023,30102,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
4949,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
4936,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
4954,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
4940,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
4950,30102,1,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
57866,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57867,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57868,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57869,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57902,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57907,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57910,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57927,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57930,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57932,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57942,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57945,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57948,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57954,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57956,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
57999,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
58008,30103,1,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
4890,30102,2,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
1052355,30102,0,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
1162602,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1234568,30102,0,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
1234569,30102,0,00:20:00,00:20:00,00:00:45,00:00:45,,Default,
1422601,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1423200,30103,0,00:20:00,00:20:00,00:00:15,00:00:15,,Default,
1764550,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1910827,30102,0,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
1928903,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1928904,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1928909,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1928910,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1929610,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1929805,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1929808,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1929902,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1929906,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1929909,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1930001,30102,0,01:00:00,01:00:00,00:00:00,00:00:00,,Default,
1930301,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1930304,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1930306,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1930310,30053,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1930311,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931000,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931001,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931004,30102,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931007,30102,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931012,30102,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931028,30102,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931029,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931030,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931035,30102,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931601,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931604,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931609,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931620,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931624,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931625,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931900,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931901,30102,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931905,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931906,30102,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931907,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931908,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931909,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931911,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931912,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931914,30102,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931915,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931917,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1931930,30102,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1932102,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1932103,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1932106,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1932110,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1932121,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1932144,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1932147,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
1932155,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
2103201,30102,0,00:20:00,00:20:00,00:00:30,00:00:30,,Default,
2336400,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
3328600,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
6126802,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
6126803,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
6126804,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
6126806,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
6126807,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
6126808,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
6126810,30103,0,00:45:00,00:45:00,00:00:00,00:00:00,,Default,
